Up to date
A,D,B0,B1,B2,Root,Y
103382974122551365933/50000000000000000000,4487095079537130315793585959947/20000000000000000000,7378482555694272628433320649811/50000000000000000000,8032712503792381372920209347877/100000000000000000000,6558503343270773636090634051069/100000000000000000000,14623818879910196215539849711867/50000000000000000000,171648672286392378714475979608279961538735910907103493/12500000000000000000
107326141303729634483/100000000000000000000,26261220198510749903154388102587/100000000000000000000,100571858738522411738066112959/25000000000000000000,108818043318126988574284803403/50000000000000000000,3527153027138304200464169141819/100000000000000000000,3586240161476497174106792240493/100000000000000000000,-13560160995060995592451680233349088771110727507672777/20000000000000000000
225908097546155580113/100000000000000000000,7061592301974526169232523996727/100000000000000000000,12313998211285055555620218065207/100000000000000000000,1013308434757330724756913752593/100000000000000000000,59954623461769507368871838927/50000000000000000000,9825664840115711483378822749821/100000000000000000000,7097999772662370026642182395286911807113943204784739/100000000000000000000
220733048380683123167/100000000000000000000,3788407784694421213211755594973/20000000000000000000,4743853530908491439298370712921/100000000000000000000,7820607341188080797847765799209/50000000000000000000,2297587493902254861872663876883/12500000000000000000,7683558420597996326140256466177/20000000000000000000,8617764011130519182463590714685218374056261377095927387/100000000000000000000
177633508705245545081/100000000000000000000,22887682820715358188940027292243/50000000000000000000,597990747682265429867317859587/50000000000000000000,16280586841874361727303143255553/100000000000000000000,12227587049869843086716925137443/50000000000000000000,3899493593024890909526018138623/10000000000000000000,-499392855592750313817864582219928356383202348866999639/100000000000000000000
82187058988486642511/50000000000000000000,5796452920019051046685549046677/50000000000000000000,126721238885022129781767241051/12500000000000000000,5109500807996500213691969052467/100000000000000000000,19903027686634705551839014039947/100000000000000000000,4783332986637033619743189308323/20000000000000000000,287095957290122656387301328822366996465142009141500713/50000000000000000000
49496889346398275483/50000000000000000000,1900255669231380953013615919187/6250000000000000000,14330100366526117868660688072671/100000000000000000000,790052777021493928401090608803/5000000000000000000,14761985128083140230139547881381/100000000000000000000,4488932606696654747165938806637/10000000000000000000,897542035207862527509271063835897879030720038751611971/20000000000000000000
80947763720810146969/100000000000000000000,41225550976823327800074847872567/100000000000000000000,17298347406507480878065532413867/100000000000000000000,12734438133206065737360226232229/50000000000000000000,1152356540041315204429369752237/12500000000000000000,51421670099555058887666636936557/100000000000000000000,1231829984950736050869503994945376901070367508134721939/50000000000000000000
1763306425251686003/2500000000000000000,9688678310055561506158372717067/100000000000000000000,283817307110911200640763706423/1562500000000000000,3671025376340200831515358178321/12500000000000000000,873120095158577416300244733153/10000000000000000000,13817399003908655257525246439719/25000000000000000000,43101731898832982073997393789747483880424270924558549253/100000000000000000000
78200060135618713193/100000000000000000000,802195717827537911649784970077/25000000000000000000,14658191601972031300719069605609/100000000000000000000,1329666805664429587806773057103/12500000000000000000,427195677863571928426445151089/25000000000000000000,25448352157584888285678277074947/100000000000000000000,2099172352219194597370405708852227930979764778449189699/50000000000000000000
561334530315850409/2500000000000000000,8195436789709420906434761101943/100000000000000000000,13959234248065431685574444797/800000000000000000,3589239488113236900352644361161/100000000000000000000,17003765484381229042752498544651/100000000000000000000,18573873617000293575880453372859/100000000000000000000,60009473980946102808539563114650989081254499212337697/50000000000000000000
70386915565253602007/100000000000000000000,44532623451490354485426830934657/100000000000000000000,819498997083930739858642075271/20000000000000000000,2546733843795372140258375291831/25000000000000000000,345645967286403820400989538337/20000000000000000000,7663973060833018829995456847551/50000000000000000000,-203839069468788427114783357445779158380163236151918539/50000000000000000000
209300107164419973603/100000000000000000000,25310419966615931684032860041991/50000000000000000000,1516595259014625441049153053757/25000000000000000000,896928752715324725641049489139/20000000000000000000,8782972994518335405618777312911/100000000000000000000,3859049208803313087268461358891/20000000000000000000,-645551418928652354956881637306659877496776527864672999/50000000000000000000
