Up to date
A,D,B0,B1,B2,Root,Y
94768560833773767529/100000000000000000000,5832122009718477769471795164311/12500000000000000000,1010695669785161845540961357559/100000000000000000000,2376084259387691910252389740839/100000000000000000000,3041593149418880749814405880707/50000000000000000000,-4873252957042389311206045165837/25000000000000000000,-308550308267/100000000000000000000
98316634764667241709/50000000000000000000,9465262807804475158269131297609/50000000000000000000,4406230366025957868100048077757/100000000000000000000,5262532812912243575933427147463/100000000000000000000,6712792627072756028366125307599/50000000000000000000,828221649797088510347837789691/50000000000000000000,-2069299688921/100000000000000000000
76246495735802513729/25000000000000000000,16875482048888728743319906389969/50000000000000000000,1304955155753892252748215986907/20000000000000000000,4895297854545031259702237200871/100000000000000000000,11128202598649983099250753654789/100000000000000000000,-496638638684586843716620573439/100000000000000000000,-21637296972087/100000000000000000000
712808038274711698231/100000000000000000000,2800908096717226615412993719347/10000000000000000000,876186664749273805422003206681/12500000000000000000,3738103960343655494701244354431/25000000000000000000,5270652683580368462496314055261/20000000000000000000,114221003067863275381734231269/100000000000000000000,-74737388611/1562500000000000000
23641004616466129847/12500000000000000000,3396569391826611949999019617207/25000000000000000000,16824799869548654727081057086513/100000000000000000000,13689015854641675255720194998461/100000000000000000000,4999216151406771797832048813351/50000000000000000000,2174134538026266162682228883/20000000000000000000,-2555971949501/10000000000000000000
12920536359989823851/4000000000000000000,4225036732246080432987142713637/10000000000000000000,1425519180891630670886587056359/10000000000000000000,7142018267186017834301497326001/100000000000000000000,26226366504281433979584375289/400000000000000000,-334782414192805211578911613237/50000000000000000000,-33147422956439/100000000000000000000
447512907567705748553/100000000000000000000,4591297221878680584927799264599/12500000000000000000,2571798914551066475570187064399/50000000000000000000,1820172699526503880555815599547/6250000000000000000,17479995081824201554858801724767/100000000000000000000,7119301361514620365433370628249/50000000000000000000,-169397079231/500000000000000000
169585402823793421189/100000000000000000000,7587120319559992226892868395147/100000000000000000000,9301574819694993360828692270341/50000000000000000000,10212715799851731575096972805779/100000000000000000000,4785210351999499851488550406001/20000000000000000000,10720347807939492249675263/6250000000000000000,-361579244614423/100000000000000000000
26778217059171127739/100000000000000000000,345580785850955049191518007649/1250000000000000000,9861102803321953312890467848139/50000000000000000000,2241169730125276070388625255839/100000000000000000000,2460258989410205048158861785207/25000000000000000000,124600248174359674097972195973/6250000000000000000,-415584810059/20000000000000000000
125727903515393785377/50000000000000000000,14197916352670195696068146896423/100000000000000000000,7102019582189024807865809448497/100000000000000000000,233476903947873511877859047399/1000000000000000000,6445859339851417444160872778733/50000000000000000000,8010333480824742028360721917/20000000000000000000,-2808283601931/50000000000000000000
62144707714721767067/10000000000000000000,8870416072841019695827851946589/25000000000000000000,15286871187873920212732742093557/50000000000000000000,2351261129901077403104834608603/10000000000000000000,5940551956429898241582342189213/50000000000000000000,65820047529416621927771189707/50000000000000000000,-5539966411841/100000000000000000000
2324311826934212663/10000000000000000000,2550388520024000893028592930831/100000000000000000000,4325575749288395475152781879547/20000000000000000000,8225310453474285568318641156749/100000000000000000000,1015552833996201802836496264437/25000000000000000000,30174903072749963318837567/25000000000000000000,-345485743629/50000000000000000000
70561816552673327449/100000000000000000000,1349578869915589050434610303543/10000000000000000000,12797516554715009953813844480477/100000000000000000000,588823527856184121508999027241/20000000000000000000,963642724129564134426740605673/20000000000000000000,103840858877009406334248657133/50000000000000000000,-1050751108579/50000000000000000000
42645873300237408799/100000000000000000000,1881703499428410439295572524709/100000000000000000000,2460653313032082746929627997669/50000000000000000000,9541260090885553022503020440919/50000000000000000000,12373583854123759277129635826541/100000000000000000000,42515784458906262044132873/100000000000000000000,-22216277613959/100000000000000000000
117897479507093912461/50000000000000000000,6564307352821727461586256294577/50000000000000000000,20697443383317159658482705156287/100000000000000000000,1356060859526502496052321812709/20000000000000000000,14843007017307932293199101534577/100000000000000000000,2486978577829377217132762819/100000000000000000000,-645188480859/400000000000000000
50592433506523831381/100000000000000000000,8882285224631158666270362514771/25000000000000000000,2733738959430107995431229890029/20000000000000000000,1651542659924055162362721576133/20000000000000000000,116795606802044770090623292161/1000000000000000000,10226303186315778744654899844387/100000000000000000000,-369627014339/12500000000000000000
216707553360519624969/100000000000000000000,2134671279429519564313054199921/50000000000000000000,603976548521992276161917681123/20000000000000000000,13981467569067983312357893248969/100000000000000000000,13983219607458315433134492650431/100000000000000000000,97215132142475359889022759/25000000000000000000,-30336880573341/50000000000000000000
14841880088642448289/6250000000000000000,27310830688556498595217378034253/100000000000000000000,17512393336621474174901812841489/100000000000000000000,254122625830045631126683113953/20000000000000000000,1102393422008948160884840045463/25000000000000000000,-730900240492347035585092800247/100000000000000000000,-2509768508641/50000000000000000000
276990526927630112909/100000000000000000000,30085123993203285234064697283539/100000000000000000000,14819291157835698106944731374723/100000000000000000000,1194628422543129714740762087629/50000000000000000000,74818175007439081443676117313/1000000000000000000,-93250595203018092848176985371/20000000000000000000,-22176386903951/100000000000000000000
76365737801390030441/25000000000000000000,6120573035186677075271528194463/50000000000000000000,4478920428914940414180293307001/100000000000000000000,1263682532810287091859537405947/12500000000000000000,6774732117069499209735212167797/50000000000000000000,27861462696091686158433346831/100000000000000000000,-2286204723531/50000000000000000000
58748980859080738583/50000000000000000000,154128773063337615474532586167/800000000000000000,337316734497343856501694156441/5000000000000000000,134882104264364027553967897913/10000000000000000000,490847448825026826119127864629/25000000000000000000,-549567059524081424646483274771/50000000000000000000,-252356787283/100000000000000000000
27433639374847990759/20000000000000000000,22344707688167519109329375752077/50000000000000000000,2321866932231936813290780411121/25000000000000000000,1892698863259151936710928670333/25000000000000000000,13408753691309079737733191521519/100000000000000000000,-1440990278543126190803543967421/100000000000000000000,-19477558425891/100000000000000000000
240570720531720697371/100000000000000000000,4851149729429122313015885812663/50000000000000000000,7896999629186640460098503208379/100000000000000000000,9654406627793355732116512378901/100000000000000000000,16182751220779379615364093223403/100000000000000000000,680302307443720160142533963/25000000000000000000,-61669177301527/50000000000000000000
3203517923392452237/1562500000000000000,15342305821722187737364375400439/50000000000000000000,359539403586100487917234030303/5000000000000000000,3520617812960307408738067831239/25000000000000000000,1370237464444894405566990603419/25000000000000000000,457043825221079036313789379313/2500000000000000000,-306149612639/3125000000000000000
5899540801616633613/2500000000000000000,2787379318313596264915919841947/50000000000000000000,15505315095859435437268516502531/100000000000000000000,26574769246488186835350683309727/100000000000000000000,401099930046559191424930952211/2000000000000000000,15009182996584294809440357/25000000000000000000,-877801742075433/100000000000000000000
425575527819734169551/100000000000000000000,7151124543015907573505308694719/100000000000000000000,2659162442389877741539227265359/25000000000000000000,3609424909658877579619737451809/50000000000000000000,7397199449236217871101505469963/50000000000000000000,292034149569795003800590473/100000000000000000000,-232672297371707/100000000000000000000
120831473397431094333/50000000000000000000,27711704739089474541749777257089/100000000000000000000,11726735488263819848921692186499/50000000000000000000,1068487383976335099907500281967/4000000000000000000,36200885019122255306451522048109/100000000000000000000,2435277504768173058049637877/20000000000000000000,-281159954036067/50000000000000000000
2037492102642336353/12500000000000000000,14657889252073960395672697875737/100000000000000000000,1572244080100125358379802981773/20000000000000000000,8169915872144827339780950179613/100000000000000000000,9486014114195717224328197698849/100000000000000000000,767522526772766575360734044257/100000000000000000000,-687299615169/100000000000000000000
314545168569290715653/100000000000000000000,20753476041833126543926940822001/50000000000000000000,9740559976789806427980474834527/50000000000000000000,1744533248047735068700875788319/20000000000000000000,3640359764438444593238017303501/12500000000000000000,36212419057431969945157213157/12500000000000000000,-74465695062771/100000000000000000000
213796161789237728557/100000000000000000000,4865662858118389384028372337527/50000000000000000000,14224972897247379405191424246727/100000000000000000000,16183854020078246820638420139441/100000000000000000000,4821863765935623537075313123797/25000000000000000000,875625859442085151937212259/100000000000000000000,-347890462502603/100000000000000000000
91229591602064603909/50000000000000000000,714291024552820997560962287357/25000000000000000000,3041914609899979731665477972881/20000000000000000000,3322183673222607086549102584749/50000000000000000000,2795785306027729089617822261983/50000000000000000000,4090587406635034215229597/12500000000000000000,-8759697942407/10000000000000000000
113872047567609895399/50000000000000000000,842589905296046602381825471477/20000000000000000000,689397913698119756883121907143/5000000000000000000,23504692955716835793712632519163/100000000000000000000,323213304733089943124110681/2441406250000000,45427616735081803454312971/100000000000000000000,-34772247591407/10000000000000000000
339027657344601796119/100000000000000000000,4518435857861389716900138724923/100000000000000000000,4433503689274914577316097846677/100000000000000000000,11910494789357503181261335142331/50000000000000000000,14577801024752687619343299718653/100000000000000000000,179437973281349192891349779/100000000000000000000,-672551108421/625000000000000000
20545705568869430517/6250000000000000000,5463468797426565223870091130867/12500000000000000000,20483115185543382099936977913151/100000000000000000000,7406589580571245764008255799841/50000000000000000000,7542896840088654100642881719339/50000000000000000000,8244196761806895914050645446621/100000000000000000000,-856945766101/20000000000000000000
465782157037513621261/100000000000000000000,169676432348271613664357299479/781250000000000000,756923814156308719741279804691/10000000000000000000,2223541157830544282785131762741/20000000000000000000,1281945532059913698837033914781/10000000000000000000,395904617823671405119871167811/25000000000000000000,-9299930138471/100000000000000000000
205070749294621121291/100000000000000000000,323787750057322236692890266747/1000000000000000000,5017204084884074160533147336431/50000000000000000000,15881579389546964804619504385703/100000000000000000000,7496365303335010839864582890047/100000000000000000000,14918379285456893708033798464997/100000000000000000000,-145604530273/2000000000000000000
3753656716187628843/100000000000000000000,76223363494641077514505069301/25000000000000000000,2388963648043609563667259433769/25000000000000000000,9811135499119039349644473180429/100000000000000000000,14740153345515540225932844962999/50000000000000000000,5744031664089337577153/20000000000000000000,-249640317622479/100000000000000000000
60135961331274759031/20000000000000000000,19847318762201179530270123191113/100000000000000000000,475218271927154658632997264537/5000000000000000000,13107069635295267014084314300959/100000000000000000000,22115371513834306746623950837731/100000000000000000000,27961256247944518063628476957/100000000000000000000,-13209947399509/100000000000000000000
90809044150095128441/25000000000000000000,16645533632086256013834546907237/50000000000000000000,3885363295318193452201036197017/100000000000000000000,14598939931814710153240936040123/100000000000000000000,1500302717609913611550481119787/12500000000000000000,1762810447606320547171440088049/10000000000000000000,-15921758225021/100000000000000000000
21154354019176140283/4000000000000000000,35628522758231773453385568106349/100000000000000000000,8106401105252662252165995038619/100000000000000000000,29774070462043788516481455409571/100000000000000000000,1061475518285728398234623824457/50000000000000000000,407513101442565853297261109267/1562500000000000000,-11342297870491/100000000000000000000
76708832066126322379/20000000000000000000,24659053534046086827768013087237/100000000000000000000,1507706301828661711686994270157/12500000000000000000,6821754223649420083941898625421/50000000000000000000,2115027256000418416689984032771/12500000000000000000,137898609773898673966409294487/100000000000000000000,-41115646101733/100000000000000000000
185820527720183837881/100000000000000000000,52954496205086080937200687871167/100000000000000000000,2065306353571401012452598751887/50000000000000000000,2542112796433543797125149473099/50000000000000000000,2530023552001199593714192772109/50000000000000000000,-5733268788719803942448701008543/100000000000000000000,-6595399342743/100000000000000000000
95215581912599711007/50000000000000000000,7965852946627668069517059354107/20000000000000000000,15540433036981125621773596903623/100000000000000000000,6418162309406265110572868245571/50000000000000000000,1199778024140394060387013207527/50000000000000000000,23209180079920194450472467050829/100000000000000000000,-6846790147833/100000000000000000000
205213538442296773043/50000000000000000000,43242334503514316102231681891941/100000000000000000000,6934689115057166484810131203883/100000000000000000000,869084408785149710616263619889/25000000000000000000,737672172230287544719877842997/100000000000000000000,-5601700598955581222385684694307/100000000000000000000,-2617929453827/50000000000000000000
37949721076148759623/100000000000000000000,19275833022781037713699877718553/50000000000000000000,11346352641256703087673683036539/50000000000000000000,86750452613785183183321210579/20000000000000000000,816284804104562044730853253107/12500000000000000000,-1266754605070909294110185056337/25000000000000000000,-1366848150713/100000000000000000000
7243414411671011937/3125000000000000000,7805141905980923823171984516667/100000000000000000000,3078429070397813617269082696653/20000000000000000000,10040355566097484355846986468291/50000000000000000000,5794611194724768006680526833991/100000000000000000000,1822984229969563555748961821/100000000000000000000,-63881562508687/100000000000000000000
131374883051318998759/50000000000000000000,22124458931110679107652671750943/50000000000000000000,109074285281485420472643876667/781250000000000000,2201977702327492258145867062213/20000000000000000000,6802465142427428258684403425879/100000000000000000000,-443684617609790265853952679897/50000000000000000000,-1265390913337/10000000000000000000
13382478106886943691/12500000000000000000,2456094067010855571309975218811/12500000000000000000,1467692298826515465591620668597/12500000000000000000,1992936497020344607186758474011/50000000000000000000,13993181435953086434665751420207/100000000000000000000,167648901746205447571630492867/100000000000000000000,-15942527834173/100000000000000000000
21380548598415483983/25000000000000000000,13062498261308119850641086061807/100000000000000000000,5491439540519133235863520497363/100000000000000000000,7721426392486784428648972987967/100000000000000000000,1304616021196978984969526603919/25000000000000000000,76612239349279981087858252059/3125000000000000000,-121942008691/100000000000000000000
14066226421721887839/100000000000000000000,904286646727379169484680370923/25000000000000000000,3369902591337096063244274403047/100000000000000000000,3045683950471556326294623903321/50000000000000000000,4789339479404019358025710971867/100000000000000000000,4690263234159918454470211491/25000000000000000000,-47460045377/50000000000000000000
263932361129046235941/100000000000000000000,275326475398386546450662199337/4000000000000000000,17477221834586921874863944604211/100000000000000000000,15148660707828934336515084967411/100000000000000000000,8385956204317452547629212146599/50000000000000000000,72460852353335658976769741/50000000000000000000,-712445344313119/100000000000000000000
31130376548861486537/10000000000000000000,14955786554408017010045731181317/100000000000000000000,6913031508785174491427937910199/50000000000000000000,15281800229362103815082185796939/100000000000000000000,645071123590015096811872006179/10000000000000000000,44589642226055192775428685793/100000000000000000000,-5537997166273/20000000000000000000
154979131175897467973/100000000000000000000,11915254309523480578428011541793/100000000000000000000,31670983674694320108771644352303/100000000000000000000,24211910286729166438143170444009/100000000000000000000,8070677335032147919119121935847/50000000000000000000,192902920220704368574698933/20000000000000000000,-136540142310623/50000000000000000000
3666491581752157001/25000000000000000000,5369957012297903147344525244331/100000000000000000000,6770055209310684884014889581537/50000000000000000000,1747177576618026841600034522021/20000000000000000000,6022852274284304729466430816393/100000000000000000000,6131173049559001326086256933/100000000000000000000,-1890540493609/50000000000000000000
3262934716656472839/1562500000000000000,9268036982149439553823237536187/100000000000000000000,8672830050656982063825254009529/100000000000000000000,12223445390584022308950475702219/100000000000000000000,11220421229571115130533991741003/100000000000000000000,2306983892179674217610464921/50000000000000000000,-856671253317/6250000000000000000
225777092056882012699/100000000000000000000,35983943266747443626930664657903/100000000000000000000,2258841874812679390972813666761/20000000000000000000,540646560535040412727978575087/3125000000000000000,4018539958068403799251348643429/25000000000000000000,3468916952682567795096546651/40000000000000000,-161407042861/3125000000000000000
175271071939808400707/100000000000000000000,200145229955985189583868676617/1000000000000000000,2663889619810803061315948675993/20000000000000000000,12463754319286677444661772372437/100000000000000000000,6734396562888147428385907466449/50000000000000000000,95993811705307798897821151447/100000000000000000000,-22111310934027/100000000000000000000
587287702904615259779/100000000000000000000,5750392765053305805969517846351/20000000000000000000,11860826703050052610348887389983/100000000000000000000,1794210859168916113473395663749/100000000000000000000,14759945361501858953652091172411/100000000000000000000,1169794269700631585577262497531/50000000000000000000,-7722306543719/50000000000000000000
123751500055418657221/50000000000000000000,3045588900063385263574432139857/50000000000000000000,810522633918783577604665934519/25000000000000000000,15380665303332426958252092696051/100000000000000000000,1284365163295827558263944501999/100000000000000000000,158888817015704349439567121883/10000000000000000000,-100644913439/25000000000000000000
63395391153188382411/100000000000000000000,2291387644030431427454496641037/50000000000000000000,4806075162567323014221678262297/25000000000000000000,14557083694487687635870097188901/100000000000000000000,21572506950368125165285753485767/100000000000000000000,63081387079117631491581009/100000000000000000000,-116298530865203/50000000000000000000
224755043516686853691/100000000000000000000,1998687748184411214714969378011/20000000000000000000,13794522685138125804643618140351/100000000000000000000,3279765101673595104227689277517/50000000000000000000,21701738577305093605473451228669/100000000000000000000,396090677185351770749978849/50000000000000000000,-66459370458007/100000000000000000000
13686340524474218097/2500000000000000000,38073704404431437239802857870513/100000000000000000000,1986891534574803664582323848469/25000000000000000000,4160368548601407952700591803383/50000000000000000000,14462527636608070913846644394527/100000000000000000000,15697844297235469837202775823577/100000000000000000000,-5419460971169/50000000000000000000
190374605771036832371/50000000000000000000,5485935582972628620604533688677/100000000000000000000,1123746306687415139466010035463/20000000000000000000,7460185734227903418241284069749/50000000000000000000,1055982017707122339070838605883/10000000000000000000,255884960068484407080829989/50000000000000000000,-37222020220723/50000000000000000000
73846769436201786533/50000000000000000000,144588949136312893781352281773/781250000000000000,485573176547599740536655452371/3125000000000000000,10284109452959460225962101192803/100000000000000000000,4601017201441753346452550824111/50000000000000000000,22384530853014940146042605093/20000000000000000000,-1408970064059/100000000000000000000
8672804994361970509/5000000000000000000,38824040795183079925881476622859/100000000000000000000,24264054036682205818309070373/12500000000000000000,2653926127542355639199151917239/100000000000000000000,13762706082636434965728978513817/50000000000000000000,-6953128614826960455964078204291/50000000000000000000,-234317197123/20000000000000000000
206257762990012229517/100000000000000000000,31059704330677435413539705501727/100000000000000000000,7874705634844813533870948367357/100000000000000000000,6625087222050906411899505684583/25000000000000000000,2747046319178483867462159960187/12500000000000000000,2244418388956492722269448014929/100000000000000000000,-2391815110219/100000000000000000000
46202003158120945111/50000000000000000000,7206848966922159634570167122723/50000000000000000000,13619382282334708820591347194007/100000000000000000000,4882273147436607129600461410479/25000000000000000000,3880128805454931672650618344363/25000000000000000000,19781353066034513804815912481/100000000000000000000,-5675242192769/25000000000000000000
92538818373765702877/100000000000000000000,1798515200944718819952035301733/50000000000000000000,521816612664211222991447149383/2500000000000000000,61708654139849354874844038701/2000000000000000000,788170309482880724642744725577/100000000000000000000,828419842355908315773599689/100000000000000000000,-686266217779/6250000000000000000
43652053805452770839/12500000000000000000,11683404136942305789485912467787/20000000000000000000,6147804875380600727174772048561/100000000000000000000,3201678561609527634651683049049/50000000000000000000,3274288495426501216885549455953/25000000000000000000,-1421227824804429655876625801043/100000000000000000000,-3581414038677/10000000000000000000
278112032923555110879/100000000000000000000,15922814526406352688481895656189/100000000000000000000,1260001685355268603263459758027/10000000000000000000,226279844511419726029856236513/1562500000000000000,5376286748495166468606563850609/100000000000000000000,7622416821660747499759086627/4000000000000000000,-5568813006293/100000000000000000000
407797533834830909229/100000000000000000000,33420560903312537616105304247691/100000000000000000000,4043069179761178601131725962757/50000000000000000000,15290645944523117698549755323491/100000000000000000000,2952345548367254882169708773873/50000000000000000000,9787595339417489867141253034283/50000000000000000000,-1186295470061/20000000000000000000
420779502124837162289/100000000000000000000,5474037159282097189893008486969/50000000000000000000,14262604947998620662689218700603/100000000000000000000,3265674069217252339377114066619/12500000000000000000,6170307151110093199823673103841/50000000000000000000,168913534732221291654216579/10000000000000000000,-184936076799583/100000000000000000000
56320154001675875491/100000000000000000000,469143713411620872748472389099/12500000000000000000,11019773684332679303419960491463/100000000000000000000,200977054157143775727171759493/2000000000000000000,10814701460828624474712734813287/50000000000000000000,69573215304602766872868733/100000000000000000000,-31763878171639/25000000000000000000
138810471549586946471/100000000000000000000,1633098582913413458355537298143/20000000000000000000,921477359059134489768537219381/20000000000000000000,350482124668106424083612556017/3125000000000000000,22766063263734528553850435588763/100000000000000000000,431161078016696651941129659/20000000000000000000,-60736020208289/100000000000000000000
23265110710383166677/10000000000000000000,6973703717239293876916390392163/100000000000000000000,1495773356739874599973959369689/25000000000000000000,299785990912003634620965495327/20000000000000000000,14348281823074707400167117176987/50000000000000000000,29197874098541104030415293/10000000000000000000,-73994926612577/25000000000000000000
3415961209542869091/1250000000000000000,8901597090857367945675241517719/20000000000000000000,15763186037338870906966255325069/100000000000000000000,3988583144372160959999039539863/50000000000000000000,35918761789673879816226878511/800000000000000000,-1123388589845698264148369280267/100000000000000000000,-106702564863/390625000000000000
82502625735884626543/50000000000000000000,2239564448585176740996720316007/50000000000000000000,6154304236325777047439390369947/100000000000000000000,9142404286739414767973821335427/50000000000000000000,579016163595301851228560493291/3125000000000000000,18065487930153643508114187/12500000000000000000,-9417634483457/12500000000000000000
309170877518925551163/100000000000000000000,2112418739219802905009098635473/50000000000000000000,13197183196635401337948217492367/100000000000000000000,1756448995889646042098076163189/12500000000000000000,566143458014487088710156880853/25000000000000000000,41901649414998500380396821/10000000000000000000,-8349795338887/50000000000000000000
82141128540799118729/25000000000000000000,1202324306713165932150249780639/3125000000000000000,96366238532369082142402121199/2500000000000000000,8389495572684973165663317801703/100000000000000000000,2651859518160384691693031883769/20000000000000000000,-822961759086940356520950322979/100000000000000000000,-373138819057/6250000000000000000
16148585993483101059/10000000000000000000,426568476666032793420765527483/1562500000000000000,7862916672021627673053514193449/100000000000000000000,2268399466986493488163688958347/100000000000000000000,2577484096399157327302078028821/10000000000000000000,159838555839746974357056935519/50000000000000000000,-3994332661241/25000000000000000000
39896357597217643971/50000000000000000000,950142802489270409033650417211/25000000000000000000,505710711188040729944717999147/50000000000000000000,25266724711573004064476820124581/100000000000000000000,14873087293271076237540810919101/100000000000000000000,121528974683376794680934133/6250000000000000000,-1054422829327/100000000000000000000
102890058510051043407/100000000000000000000,17721676973376765400933795761561/50000000000000000000,2423359051510900995811092842191/100000000000000000000,8201040089268827755774735093029/100000000000000000000,6696141589346975858962455821571/50000000000000000000,-378962139920088197769418029693/12500000000000000000,-2849080069997/50000000000000000000
290695569346363057271/100000000000000000000,32105231246531664212825419259199/100000000000000000000,7692452619500448174421595849043/50000000000000000000,29529778756285368050847660756027/100000000000000000000,580519553864978170392405048887/12500000000000000000,6120184149399022115415803020043/50000000000000000000,-10164387434917/50000000000000000000
8401042372920123093/2000000000000000000,615381314827485191551280029543/100000000000000000000,459738641192302842958023884439/10000000000000000000,923858432279250693713825487473/25000000000000000000,30402705088399452937151053826819/100000000000000000000,974292554317369331531/10000000000000000000,-5269585478451917/100000000000000000000
60225731978671943109/25000000000000000000,17353157913857665070964220386973/100000000000000000000,13259407931474701574523536361931/100000000000000000000,19950031073588879446241853145299/100000000000000000000,27631341031060828376528628755147/100000000000000000000,1479767476330212224263493857/25000000000000000000,-170968482891667/100000000000000000000
38765091263375648207/25000000000000000000,2555804176850268563021354240317/10000000000000000000,2199638840635670919452777733853/100000000000000000000,1432982920802794098658265679287/50000000000000000000,5523078027941797879844756812863/100000000000000000000,-102902883693210257410298193349/6250000000000000000,-1078055947/250000000000000000
123010922385454386899/25000000000000000000,25265856872202257982182682933549/50000000000000000000,1134115255587464450155449133887/10000000000000000000,44472197671370378058334340929/400000000000000000,2424747471149006403811622251813/10000000000000000000,3000658916303823944437442088631/20000000000000000000,-5192063692937/100000000000000000000
583013265010457869439/100000000000000000000,9802083392057297096556658961067/50000000000000000000,12683521922926430975908384905321/100000000000000000000,8199893850418735866824376468187/100000000000000000000,1806924258906365562612608606833/10000000000000000000,419851524886782471830679257/3125000000000000000,-37876963102529/100000000000000000000
210427723409588471401/100000000000000000000,34309903014274593304316833890831/100000000000000000000,8448692220186184917007661898709/50000000000000000000,9822737413015698885540128852613/50000000000000000000,12631887643025695389647850736013/100000000000000000000,501983149540367098604966092241/10000000000000000000,-6481553331243/100000000000000000000
