Up to date
A,D,B0,B1,B2,Root,Y
122538453668438044617/100000000000000000000,13254258926391488461822461584983/100000000000000000000,5755127548156046966181378103973/100000000000000000000,3271110653256957885639586452063/50000000000000000000,12813162169056609914239785242941/100000000000000000000,1560241335469303191085414708739/6250000000000000000,637868685649/100000000000000000000
29036644359611275491/25000000000000000000,2345723657330692851702629945993/25000000000000000000,1356055587673354800291635504949/20000000000000000000,2829755613041962692940305596189/20000000000000000000,15036988304043595906480379962231/100000000000000000000,55885518308671090391411446069/156250000000000000,11148541097653/100000000000000000000
59054047220201300823/50000000000000000000,11862723053325171062337456781281/50000000000000000000,4180750432184936422168222922999/100000000000000000000,422816930230319168536869123199/100000000000000000000,19236106299727446559007456550919/100000000000000000000,9753159398011254861186310100771/50000000000000000000,379918873/625000000000000000
5846358831976903957/1562500000000000000,10738099173618894876575840464941/100000000000000000000,19167457533415005974415761179649/100000000000000000000,473392386244390340994135124097/2500000000000000000,16697441366988641311485491333109/100000000000000000000,5479755821266504809105931525111/10000000000000000000,85513181901293/100000000000000000000
53036104464171543289/25000000000000000000,24841884909162053151036705981809/100000000000000000000,20074963220400255657419864837/100000000000000000,140420410890893564950774990787/2500000000000000000,3753127250155601103559739175627/100000000000000000000,28885495070902396455627001252743/100000000000000000000,5420120716649/100000000000000000000
255995274783336495159/50000000000000000000,884050681323574566151376924277/12500000000000000000,822633031899769210953622696937/100000000000000000000,776305882596644910890976185351/20000000000000000000,1509932385046412331413846162881/12500000000000000000,16399789908012062956480440941663/100000000000000000000,241057891469/50000000000000000000
24009711658665499493/20000000000000000000,38550523698661051937846633609/625000000000000000,28975839726309845104286496591/25000000000000000000,948229847906800603402104634213/50000000000000000000,19424534470153231515671924397/4000000000000000000,455869168247145803083022492833/20000000000000000000,25294743/156250000000000000
138943951632004544093/50000000000000000000,12085980866938333152449470787391/50000000000000000000,12783322996996212881433741020547/100000000000000000000,2976806425650546859637849871213/20000000000000000000,1881881984480713647741136681271/50000000000000000000,31194181419600427371439582503677/100000000000000000000,17368094741247/100000000000000000000
47582646985628248551/20000000000000000000,2990212663432051134198210844769/100000000000000000000,49392309649350193456587654411/1250000000000000000,605116127180088254464206415507/50000000000000000000,14660388232603854772218941569087/100000000000000000000,19038000576592754591908103201287/100000000000000000000,223174686009/50000000000000000000
303528229247177170637/50000000000000000000,8168871090141603569394944679611/50000000000000000000,3948710029121715451936030184309/20000000000000000000,4268663924053194915539792331097/25000000000000000000,4470242711442887682337872018623/50000000000000000000,45710262992057248774841055540449/100000000000000000000,885925538963/12500000000000000000
126226723374404919111/100000000000000000000,7553067690912644406549567341639/100000000000000000000,7430625198277283376925010884821/50000000000000000000,1568035885789490000456636381453/10000000000000000000,7004947994702421219812890768409/25000000000000000000,58344695740819077618783672855287/100000000000000000000,8155917077423/50000000000000000000
343569874764539556117/100000000000000000000,23158478066730445219480270562683/100000000000000000000,8769169553713177123509050602933/100000000000000000000,3681972424713437082222328217671/50000000000000000000,405498717668773105341221133449/3125000000000000000,29081751589592586777516786822611/100000000000000000000,74819635921/100000000000000000000
172384449075585135543/50000000000000000000,18644206560732502245944325903363/100000000000000000000,2731861869353849293734055250213/20000000000000000000,16042477379833548172295414472657/100000000000000000000,1647251112471530453661698659831/50000000000000000000,32716334251654348875420188021191/100000000000000000000,13198110669689/100000000000000000000
13453917701744133701/5000000000000000000,17615245508032662649615078293197/100000000000000000000,1639107294538881284110289798461/20000000000000000000,149584836910456869223600819953/5000000000000000000,4004061166881994886860859135827/25000000000000000000,13447237877330474222291915835181/50000000000000000000,706101128987/25000000000000000000
141167168360755027217/50000000000000000000,3217263659130352355764401066943/5000000000000000000,326132160608909985925401973/3200000000000000,1667639298587249324728683568387/20000000000000000000,8376122690789141807679034346829/100000000000000000000,26901368859035441231169980892037/100000000000000000000,11350520370383/100000000000000000000
378782487545950108351/100000000000000000000,955251627020175274949475456933/100000000000000000000,12993401457769277384995273927139/100000000000000000000,466640449745389951528837374257/6250000000000000000,3807578580320323252853283316423/20000000000000000000,3940989011141022940599840888881/10000000000000000000,24778736333691/100000000000000000000
179248498921280017927/100000000000000000000,271161380126013548768596974457/781250000000000000,2239839762393151254287156084043/25000000000000000000,4168708357955476091390789957413/50000000000000000000,872411620857019636576893613073/4000000000000000000,19420288090881371963903767508623/50000000000000000000,9335462109/10000000000000000000
8109670457532609681/100000000000000000000,21765192529871967258965021367251/50000000000000000000,909133029586193446875090318029/10000000000000000000,506922487659744328894594570089/50000000000000000000,8642846977290822505414425149331/100000000000000000000,7477818572868040516329227347147/50000000000000000000,94191715807/50000000000000000000
58170649580451007579/25000000000000000000,1346597379300554084282745007/195312500000000000,118242133661703413532206733711/100000000000000000000,1249311859752930219073214409653/25000000000000000000,11507971896739319012259150538683/100000000000000000000,13746475399051290007982812553123/100000000000000000000,109941819881/25000000000000000000
17766016563996368699/50000000000000000000,4612504434025068400550925890819/20000000000000000000,8654588282215079403033599414537/50000000000000000000,990075770266599738259722134703/50000000000000000000,795043071330407407401521522213/12500000000000000000,2881486226919542395730801891693/12500000000000000000,690981901739/50000000000000000000
13591561978906125503/100000000000000000000,4891572083620719915935585569843/25000000000000000000,7504504404758440109954999207127/100000000000000000000,13196881252512050659282469308923/100000000000000000000,4063562517993702743573592768453/25000000000000000000,36123476879600580853628792879229/100000000000000000000,451937413231/100000000000000000000
75103119458598819981/25000000000000000000,105661605808012131885705410309/800000000000000000,2336647371445428750324099939527/20000000000000000000,18028670395075099472011548756893/100000000000000000000,794005825246178355298812356437/6250000000000000000,21193861630958403120938327879459/50000000000000000000,41245781769591/100000000000000000000
300348127174987890799/100000000000000000000,2001943808426065827810519456887/10000000000000000000,25271304978746923716980233719697/100000000000000000000,176191004923634839359637301461/100000000000000000000,3965789733470988621272781696053/50000000000000000000,1682480100138431228940316216671/6250000000000000000,407273282461/100000000000000000000
155309090885140612749/100000000000000000000,470535012617383649720697533869/20000000000000000000,10704664081308640584260665616353/100000000000000000000,2102567078801695397873039942857/10000000000000000000,1527030053945687095580749129467/25000000000000000000,18733014761155753364842326849959/50000000000000000000,2410094411963/25000000000000000000
96505211350046673367/25000000000000000000,777519158695899631861113020947/4000000000000000000,9054317471315369678299457553689/50000000000000000000,1033446101801858903621681138849/5000000000000000000,6837829062229331850036355496143/100000000000000000000,45458610281721568819688106289897/100000000000000000000,1178127118667/10000000000000000000
17743930980272123973/12500000000000000000,4892668247486872386376632917399/100000000000000000000,1165294120901367927320117343539/6250000000000000000,2746936840947359336761343512459/50000000000000000000,6858959189589681105830963484037/100000000000000000000,15295578017668885429286860946643/50000000000000000000,7317950161109/100000000000000000000
20622615973249964987/50000000000000000000,39856717709708864749608339223379/100000000000000000000,75537012642229587801647782213/390625000000000000,29744881705817812900255766703133/100000000000000000000,7991802529363435775930319501641/100000000000000000000,6910157661648736910548105501183/12500000000000000000,6257833766243/50000000000000000000
86020842267001788181/20000000000000000000,24056669545567601584045456028569/100000000000000000000,9751689027295974389199013069757/100000000000000000000,1598064297916910678685958477539/10000000000000000000,732344955724571464363998068057/50000000000000000000,3339416558116444319018823251089/12500000000000000000,955147308101/50000000000000000000
70383984783418139291/25000000000000000000,9214669319616263245399733013001/25000000000000000000,18079291468575174116846272941149/100000000000000000000,14544560695101751785008472533129/100000000000000000000,660856766405478226647572574271/6250000000000000000,10789346544212126798126151574869/25000000000000000000,354163426153/800000000000000000
29689365825976282967/10000000000000000000,10461873906105532545899461612653/100000000000000000000,8833230200126305933564626258609/100000000000000000000,9801237156373136215814062852847/50000000000000000000,7482511218759148864557256327/12500000000000000000,5162264675563569801909119729371/25000000000000000000,736382028881/100000000000000000000
4913175348181195529/2500000000000000000,12637114341219269031111048114269/25000000000000000000,29138139788178625396372351399151/100000000000000000000,1359005914213850218360566077087/12500000000000000000,950055409486088567670108793523/6250000000000000000,10985379742079523611069081098801/20000000000000000000,27304394320913/100000000000000000000
344551130673317302401/100000000000000000000,22018549635488099943703286108917/100000000000000000000,6248313835912955037083270925363/50000000000000000000,152725616946239930887414897793/781250000000000000,9025274097352849682039918643589/50000000000000000000,50066935791432333229052241895811/100000000000000000000,63584198844569/100000000000000000000
174399676780273882587/100000000000000000000,908880279437446697727855819181/2500000000000000000,7699848538262494176916906791/97656250000000000,8879507255616183523270667315287/50000000000000000000,376341691741804491170179986871/10000000000000000000,28970874108455869173719112295027/100000000000000000000,1624851908749/20000000000000000000
29654335124793211841/25000000000000000000,93346942076336044963720723/2500000000000000,319584596169723545640685246559/5000000000000000000,2049775231940627342196625843741/10000000000000000000,966700021657649597557403546591/25000000000000000000,14935722539428797845879424458179/50000000000000000000,35868546299/6250000000000000000
344016048127868679053/100000000000000000000,9272390787578714641155854141237/100000000000000000000,8913952337414817106501322692823/100000000000000000000,18502967894885884714431576995417/100000000000000000000,2872685414491243967585334650311/20000000000000000000,10429901045912382975818013299831/25000000000000000000,1115838842087/50000000000000000000
354207512866309698193/100000000000000000000,264744254468449894525880738139/1562500000000000000,217687226033012822253158520821/3125000000000000000,628313185453241835788544887613/100000000000000000000,717946013551895150861075368211/10000000000000000000,1439508316490351503218109978851/10000000000000000000,83432141041/12500000000000000000
282585986855877034857/100000000000000000000,13023585075531334398154947505791/50000000000000000000,9483174397997200623272620526729/50000000000000000000,1301011760292826398356775047733/10000000000000000000,3314688638991710184791034933377/100000000000000000000,34870669756380258854153243667693/100000000000000000000,911642149967/12500000000000000000
145539921651099351693/100000000000000000000,1151051098352565344165848119197/12500000000000000000,571048215057538182491089631563/25000000000000000000,2851801620703136088076118934907/25000000000000000000,2872955383121851463571745023701/20000000000000000000,27344229164643088356762362357203/100000000000000000000,868508316039/100000000000000000000
271257215860894721083/100000000000000000000,3086107620976312447401081762891/100000000000000000000,2161260071917131221958547080799/50000000000000000000,18490509339404355901136345200151/100000000000000000000,6211365268492263987314063886363/100000000000000000000,28723229253369533727008963563327/100000000000000000000,2682203475437/100000000000000000000
63792614180856124407/100000000000000000000,1394951600618911413558993259003/10000000000000000000,25658013444574816457106702477499/100000000000000000000,27958190599519916711688311897/400000000000000000,10322634816240450708619436422207/100000000000000000000,41839784286415492577825829572593/100000000000000000000,505689440971/20000000000000000000
3183463991238369561/20000000000000000000,1634959563340728770224291971089/12500000000000000000,1568634109229686562054813377933/12500000000000000000,7199382955960342304899562405601/100000000000000000000,15832554018812536691812921882403/100000000000000000000,34823704435439838740687436312579/100000000000000000000,203650789361/50000000000000000000
363040992253371765469/100000000000000000000,42179935894311098939410706096977/100000000000000000000,4924352338784320322205426833049/50000000000000000000,240613031312384210461503424969/12500000000000000000,8420282181638865664707351999937/50000000000000000000,3519684668607883141948685844923/12500000000000000000,2202798580643/50000000000000000000
214294810408684334779/50000000000000000000,96232922838073869696081108611/50000000000000000000,14658772720817108266982067482469/100000000000000000000,463207786004218553489367043867/12500000000000000000,2096647911696955532666682518887/100000000000000000000,5042560835728922793272166554857/25000000000000000000,615136848789/20000000000000000000
182302386412873177337/100000000000000000000,8346187965029390737105886889461/50000000000000000000,1310204825103056182234236567629/50000000000000000000,2212066002835167160473812065477/25000000000000000000,370871797013931985970742018011/12500000000000000000,14271807781578563139786082296943/100000000000000000000,2442093586169/100000000000000000000
31585498978569684707/10000000000000000000,1160918926034056890419436342017/20000000000000000000,6140612189123361968558713691587/25000000000000000000,132169077907017440596330802367/1250000000000000000,27733366996941566800768240623659/100000000000000000000,1566848042922024553627457830503/2500000000000000000,48291458955977/50000000000000000000
130864473844910240771/50000000000000000000,27359662761506067628074139069491/100000000000000000000,7435422672978246398276152006687/100000000000000000000,3281635082969408610719497288151/50000000000000000000,28021159788165784797458969991317/100000000000000000000,10368214539274776840678667312783/25000000000000000000,20790745150361/100000000000000000000
6362919386281800001/12500000000000000000,4163786261813550593221413660157/25000000000000000000,19098112956796940349419274040207/100000000000000000000,16323690634785153886555810185859/100000000000000000000,16902908297846122960021722141907/100000000000000000000,10460636070887969933772383684601/20000000000000000000,905832227213/25000000000000000000
178565119365069054747/100000000000000000000,48081060479969891650230991410803/100000000000000000000,2534008568333532027324021569639/50000000000000000000,6390839764820923346872524594451/100000000000000000000,3409460659548162805098234020039/100000000000000000000,3709704007406407658209441505511/25000000000000000000,749388367873/25000000000000000000
864958771060881829/1250000000000000000,3139380337222175872583409924833/25000000000000000000,3037164420066003949219899704977/20000000000000000000,5002109944557185357082659851181/20000000000000000000,9597050636531588080520232782189/50000000000000000000,7402039364864395716373590072189/12500000000000000000,12308493592979/100000000000000000000
154061693596206500401/100000000000000000000,195756803332761367160031515113/6250000000000000000,9211732461085561144033145947149/100000000000000000000,18179744610834867728153390697843/100000000000000000000,21516795440667854284831415883457/100000000000000000000,48690027165090324828483081392131/100000000000000000000,5491722645379/100000000000000000000
248791265162725905291/100000000000000000000,45559047557580244469369883716401/100000000000000000000,14234465785599543687332415843059/100000000000000000000,1627570745244019095761695621281/50000000000000000000,15041674909261801088357382039173/100000000000000000000,804087125578977365111747428907/2500000000000000000,675375769623/5000000000000000000
465419072089933317157/100000000000000000000,2437341537033107962911110407273/50000000000000000000,1945028837752117307359004880907/100000000000000000000,161395411430464983540528252233/3125000000000000000,5075354366647290690747164819553/50000000000000000000,107168577387386740831286518953/625000000000000000,2904475478231/50000000000000000000
282505145882907239839/100000000000000000000,5865349545031702698525440882193/50000000000000000000,15510692367656705224492989659417/100000000000000000000,2086871563489268573195153744167/20000000000000000000,610841313731132138292171056749/100000000000000000000,4994597486590285394789889813011/20000000000000000000,122133828953/25000000000000000000
43174427902897126891/100000000000000000000,5061874190027776985207830790663/25000000000000000000,1475574656919636417149191911433/12500000000000000000,3964542783581602542185691218521/25000000000000000000,1555590815684488358745545496283/20000000000000000000,4391336072547585720546788359677/12500000000000000000,136265710297/2500000000000000000
31372718979577193399/100000000000000000000,23298826149137697938159050859431/100000000000000000000,32287596159948281394864489981979/100000000000000000000,4382241738099595601632395364519/25000000000000000000,4358588131618148235489793614261/20000000000000000000,35493896572042048265957043676177/50000000000000000000,6735937123777/100000000000000000000
214940065764468431647/100000000000000000000,7454222254056635896433781213359/100000000000000000000,1603643057112302704344895490871/50000000000000000000,10435649380004705655717574183309/50000000000000000000,19475900801932607374943472678319/100000000000000000000,42667322902621664092343723856889/100000000000000000000,12259326083567/100000000000000000000
85392517188102933179/20000000000000000000,460822393273316632007280847159/3125000000000000000,1117122236004964561410797654669/12500000000000000000,7215983153392113858197683712923/100000000000000000000,2143212496797273794718395201863/12500000000000000000,332325367368398624560156116869/1000000000000000000,2547632065273/12500000000000000000
176279921138949340721/50000000000000000000,13813569745612410175094710171411/50000000000000000000,463150251867937912959655060961/5000000000000000000,691757759229867302788055248871/20000000000000000000,1238770939129713419670264484083/50000000000000000000,15102964885036545013207933363607/100000000000000000000,228247120297/50000000000000000000
339833802779081972593/100000000000000000000,34441263599791319339897617413437/100000000000000000000,9219205761221674258994878233143/100000000000000000000,43925816879512127717369812891/2000000000000000000,6672711390454426296103463572523/100000000000000000000,8986188660526089634493969061641/50000000000000000000,520100798429/20000000000000000000
75506429529343420917/100000000000000000000,59356773905629765848843425723101/100000000000000000000,9566425078227125175736083885263/100000000000000000000,18752213999171129154427106324737/100000000000000000000,62840805070525475312238954607/1250000000000000000,16328335823084931794649647674701/50000000000000000000,1142563531867/50000000000000000000
540349676613918927287/100000000000000000000,5132474919039826975788582459547/100000000000000000000,40854007874509972815072593233/400000000000000000,95892035785042405537729777317/20000000000000000000,24150774858881669737554562965487/100000000000000000000,4079139578840683531129105028279/12500000000000000000,368858874589/20000000000000000000
296874075906658865263/100000000000000000000,2398507219330055261623414716817/10000000000000000000,1583884170045602684925264008947/10000000000000000000,3078518010215293693123483261057/20000000000000000000,2280551583845029375146617293723/25000000000000000000,20154031742543192266454267904667/50000000000000000000,10834117016401/100000000000000000000
137587123345556079651/100000000000000000000,6418753761330437561020328544111/20000000000000000000,1867741346642621030753897670029/100000000000000000000,25934592816265618482454354334011/100000000000000000000,4060891176661728683496453402493/20000000000000000000,45120056224349256574180099449151/100000000000000000000,11690318779/50000000000000000000
164189161786394352963/100000000000000000000,17715852607530237577156474854609/50000000000000000000,8533027192196917509524899618941/100000000000000000000,8508837623393399378737703991499/100000000000000000000,777910989083746173738103903917/100000000000000000000,8487304592260585922953061930829/50000000000000000000,1695300970631/100000000000000000000
51224081161443499221/25000000000000000000,15030784012025128005802541303617/100000000000000000000,18500523626789170387889415316989/100000000000000000000,576489669497920550458883815303/50000000000000000000,2431831836729872783116363185919/50000000000000000000,23097896369127249229112268948063/100000000000000000000,17157997271/20000000000000000000
91015674838414986021/50000000000000000000,860987719835230342193805404037/10000000000000000000,1700820767548061270530890781329/50000000000000000000,1582135160013265280072876269753/20000000000000000000,6697889569711529661593798455339/50000000000000000000,12228848240064235310537896525983/50000000000000000000,1781451690067/50000000000000000000
289812049556446806627/100000000000000000000,47773515230756306698754269269729/100000000000000000000,4107303686698596638192297931423/20000000000000000000,56066436921805603459634368313/2000000000000000000,658683465046796007461432851307/100000000000000000000,10785743830384789247995622910207/50000000000000000000,294168673089/100000000000000000000
135710754622525477551/100000000000000000000,35694688698390718672027535806643/100000000000000000000,21871180761695355512566276532129/100000000000000000000,2185496433818882299055258157857/12500000000000000000,968562221006851680127783490821/100000000000000000000,36484034909563468816221520642389/100000000000000000000,1330409157407/100000000000000000000
21294701102691475513/20000000000000000000,811250612664069281354656656263/10000000000000000000,3738320075413777117728311800683/25000000000000000000,25681372101989251298775322205501/100000000000000000000,3366064547976719185356226286441/20000000000000000000,28654186000302081229498084644743/50000000000000000000,18460974399259/100000000000000000000
49811795613082763791/50000000000000000000,8932475249524099982667425799159/20000000000000000000,5871593725967498935512834974709/100000000000000000000,5462833039443753653708539166529/100000000000000000000,12325227325393841300402750052003/50000000000000000000,6947989478252354150701758184519/20000000000000000000,3825028930467/100000000000000000000
39893390312814/19073486328125,27054725932156094616809274684269/100000000000000000000,5431835896123915368294809758841/50000000000000000000,2757644069123856198612225747781/50000000000000000000,714540704706343618467319419051/50000000000000000000,136033536355752692075119940259/781250000000000000,2565468150393/100000000000000000000
31551747171644666093/12500000000000000000,2432895760829022235417495578411/100000000000000000000,133551333964637742497831513231/6250000000000000000,834368481790648228671370358129/50000000000000000000,6278662979817878175535522304587/100000000000000000000,998911143846381606789793647143/10000000000000000000,101587515529/6250000000000000000
161370887867761230511/100000000000000000000,27768841986846418566713795719531/100000000000000000000,3992810322898941384236557020191/25000000000000000000,8836790096872647400243084347403/100000000000000000000,2278179675730310084354827714617/20000000000000000000,36127363340856190323863658882513/100000000000000000000,2873415044501/100000000000000000000
3224256568440111593/3125000000000000000,1592229956374665835786551840781/25000000000000000000,7215126445397278813707371629119/100000000000000000000,13271398339671885692210470445081/50000000000000000000,3012092634002736602847760103413/25000000000000000000,11262530904000087472673589403993/25000000000000000000,2138243840387/20000000000000000000
600455540317093663399/100000000000000000000,17843823640153915040421489024249/50000000000000000000,25121482495752547895284285975959/100000000000000000000,31511533256999660169040715853/3125000000000000000,1137605196439788282574939997217/20000000000000000000,15307020394776436104841064143483/50000000000000000000,762551868407/10000000000000000000
475259125170956113177/100000000000000000000,25797561782257994615818954523887/100000000000000000000,3374843552205869132711942846691/12500000000000000000,25093160079384676626320617970113/100000000000000000000,20951354513093630027935116345091/100000000000000000000,73033884015998577104775201099093/100000000000000000000,105366308124309/50000000000000000000
306443498680830627029/100000000000000000000,26758698561590509860236527438499/50000000000000000000,5590146849734099745167397043763/50000000000000000000,939676512292899850381982462647/12500000000000000000,477256357767575188134845907359/100000000000000000000,18176520471930110073535100040471/100000000000000000000,105420002389/100000000000000000000
29357247676347727177/100000000000000000000,7268573600864722339486048113651/25000000000000000000,2389578057274514722871736700043/100000000000000000000,6410127214293232967452861854763/100000000000000000000,4242118121913644493680182014733/25000000000000000000,23361125801761435414723588334077/100000000000000000000,1296022570959/100000000000000000000
114650966803835368457/25000000000000000000,2924735336464476770278409581129/20000000000000000000,1516196749710935843462674501557/50000000000000000000,8253416442763774358124002515377/100000000000000000000,7302700054000593673037964462497/50000000000000000000,12869946309715679167985145892943/50000000000000000000,9759117697393/100000000000000000000
62497279712216397119/100000000000000000000,5575993775129962935914629848567/100000000000000000000,652398915249607447259594449733/4000000000000000000,14342816297614076127793141808133/100000000000000000000,2144098090957415280881806581187/100000000000000000000,30720076365078926499882996596341/100000000000000000000,1098851754019/50000000000000000000
26176322432280160913/12500000000000000000,57205969766716638975121723097347/100000000000000000000,16707941700466928699727373627933/100000000000000000000,4629852334501071203183575323389/20000000000000000000,8655597117854011896034573887629/25000000000000000000,74302739786361347277317957312677/100000000000000000000,10614781126927/100000000000000000000
210134217323675046547/50000000000000000000,1915311589761816066145476701327/20000000000000000000,2506088816714509299500275485923/50000000000000000000,13307302400772234324015420285019/100000000000000000000,8991093908079760010551731620769/50000000000000000000,7231054412116201710366301942069/20000000000000000000,33662513202841/100000000000000000000
4205016112811300791/4000000000000000000,49706927374350137039332608170191/100000000000000000000,1112502657403906012594289143113/6250000000000000000,2780889327516508073171253577201/100000000000000000000,720802904085682739706620468099/100000000000000000000,18053116257125687925037088262709/100000000000000000000,100801933981/100000000000000000000
3459920553322480343/3125000000000000000,2667533107611958647396463144371/100000000000000000000,237171011468431348972906244263/1562500000000000000,17154015338487929510226511235989/100000000000000000000,13743808614673397004050381847791/100000000000000000000,23029686484699763174056131918951/50000000000000000000,2609310787859/12500000000000000000
150451047986035179513/50000000000000000000,16170139454222513626149768870109/50000000000000000000,3746663290586662931188019391419/50000000000000000000,3360329938226564285796233167213/50000000000000000000,16223653884709671728897895018557/100000000000000000000,1896148140734952810539657887251/6250000000000000000,3874219472431/25000000000000000000
787596610785809391/160000000000000000,10043297069280574418050541714799/50000000000000000000,17744874543233745038481135691/500000000000000000,5388631867668810464859077982749/25000000000000000000,6895933373600440290489540849663/25000000000000000000,26052889536557695864341535929651/50000000000000000000,32786946204553/100000000000000000000
77532957150229767667/100000000000000000000,38014055749718246595576695538429/100000000000000000000,280496510799381108125706134501/2000000000000000000,12080634110978451864220262060147/50000000000000000000,10851589317384565902281898254951/50000000000000000000,59687189841974894457661291008873/100000000000000000000,19149963243819/100000000000000000000
267937419540370801827/100000000000000000000,10159922803100478962805008521229/50000000000000000000,9734075795823177220701009190673/100000000000000000000,1318728945292550130754260801859/25000000000000000000,2706581918658626586712382366947/20000000000000000000,28452350694100216281444053687549/100000000000000000000,8898028736657/100000000000000000000
7119470494132043291/6250000000000000000,477777461562884869866352587521/6250000000000000000,628014044733035760045209956243/10000000000000000000,4521564721813192008508517900627/25000000000000000000,9161415459644061009622488445629/100000000000000000000,16600573374620432395021944721093/50000000000000000000,1183356055141/25000000000000000000
16835530026690994229/10000000000000000000,3086458197153777725191593959979/20000000000000000000,5658190695854057936114896234769/100000000000000000000,11209187076835925996957087129167/100000000000000000000,4901044960454483402471503956241/50000000000000000000,26598608478485288460114798752791/100000000000000000000,2040630929497/25000000000000000000
194836200487995087687/50000000000000000000,2175303717147299613595568078147/10000000000000000000,3503125579696387460880721507957/50000000000000000000,26218650130041036617646488490459/100000000000000000000,1428124746969053952236512104991/100000000000000000000,16658208573054310529893005505397/50000000000000000000,1186739419/4000000000000000000
1120800847286235669/5000000000000000000,35961149268895782757721905852543/100000000000000000000,12991365436361207365591113324923/100000000000000000000,5321939775043316076176676079641/100000000000000000000,3053251841365327716192186232001/25000000000000000000,929977558615108158115450692819/3125000000000000000,391762342283/20000000000000000000
3815160880116669891/4000000000000000000,1473018320820411957825195623167/4000000000000000000,13977833517935031632678262084883/100000000000000000000,20360588901686505243303773419691/100000000000000000000,855394457447020682627337325977/4000000000000000000,55621365186582274572139994743669/100000000000000000000,1147675033539/5000000000000000000
4136055587306183547/2000000000000000000,7165257818314289695750072428241/20000000000000000000,10335594336994730251601295117937/100000000000000000000,411120819223662568049823925053/20000000000000000000,18777085630169323615267366406719/100000000000000000000,15154056115391235827707830420307/50000000000000000000,5263657549733/100000000000000000000
23462713702995921407/25000000000000000000,198114912869622553759865308527/800000000000000000,6533171545208705918567858260387/100000000000000000000,3000325992090882873165510035467/100000000000000000000,2777002283296126059072717392283/12500000000000000000,6032388567591119053462893638463/20000000000000000000,2694386601529/100000000000000000000
369324064621263705467/100000000000000000000,9741095911908436924140776741927/100000000000000000000,4898410926086360305777477327493/50000000000000000000,1092812900141627246238623429957/50000000000000000000,16492198137434898659244532697507/100000000000000000000,28100621537470185139374768077927/100000000000000000000,2571014946063/50000000000000000000
47966102568547762197/100000000000000000000,2602926683365016817898013810103/6250000000000000000,3358772449642279775032516293543/25000000000000000000,365200474632763323952636423349/2500000000000000000,3109461197480439183675072481059/50000000000000000000,16905353017780929315613836321639/50000000000000000000,610326838189/20000000000000000000
177410263362962802393/100000000000000000000,1102101509134251070467706972197/3125000000000000000,838036869536109163882539453043/25000000000000000000,3049822114801597604914369662597/10000000000000000000,1623193826103157627004938366919/100000000000000000000,31528006309148741191201504503451/100000000000000000000,1731155141791/50000000000000000000
68695859524506474317/100000000000000000000,13099337707257622527731396616153/100000000000000000000,8238472615707348386673718865233/50000000000000000000,4414663061211312838624005624727/50000000000000000000,5752943855875303124102536047147/50000000000000000000,36637952374245747351498486364909/100000000000000000000,4658454848853/100000000000000000000
46541057985129480001/25000000000000000000,1640490349022133762893061894377/4000000000000000000,172518133809304085761715263889/10000000000000000000,8313529298593536004929713599803/100000000000000000000,162094279569159901408537626051/5000000000000000000,6538644230263708947916721553001/50000000000000000000,317026574177/100000000000000000000
175297539805335235959/25000000000000000000,2509951852074540104767593082871/10000000000000000000,3232829659860077982555979045719/25000000000000000000,1292177653363495961880728803153/12500000000000000000,6597468174085920341204543421597/50000000000000000000,36460261399087572740504546595443/100000000000000000000,5601023739779/12500000000000000000
